# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-23.36992002500701,180.0,-0.43670302014029194,-2.289885697787818,0.0,0.0
 0.06045519562850762,0.009137076696202819,0.15113798907126907,2.5000000000000004,-23.36992002500701,180.02234897585683,-0.43670302014029194,-2.289885697787818,0.0,0.0
 0.0854233186357741,0.01824285841687248,0.36469628566070444,8.553237923703092,-23.59814964483018,180.04469795171363,-0.4372796022747514,-2.2868663317427744,-9.14084009265523,-366.10041091174406
 0.1045323853903825,0.027317548988508633,0.47488926006539134,5.766528309296551,-23.825899077139685,180.06704692757046,-0.4378182959159309,-2.284052560909922,-11.918396394454076,-145.35279705007065
 0.120600746000436,0.03636134983965421,0.5628328284770469,5.4730890441077,-24.053151678050845,180.08939590342726,-0.4383187597364356,-2.2814446741939762,-14.14286164134115,-138.43759801452887
 0.13472113418565826,0.04537445999067537,0.6383047004652362,5.344886485994394,-24.279890787320753,180.1117448792841,-0.43878065881225775,-2.279043025066136,-16.05756911890013,-135.5987847106655
 0.1474545028730717,0.0543570760438618,0.7054390926468245,5.27231982593487,-24.506099730972657,180.13409385514092,-0.4392036645367402,-2.276848033712952,-17.765050962162334,-134.09506040220103
 0.15913439876271682,0.06330939217392843,0.7664722540894713,5.225488482029725,-24.731761823678532,180.15644283099772,-0.43958745465597415,-2.274860188588891,-19.320556864375565,-133.17806227984244
 0.16997835170263506,0.07223160011886176,0.8227818761633795,5.192720992602606,-24.956860371276758,180.17879180685455,-0.43993171312302576,-2.2730800489492164,-20.757979017928655,-132.55518181582283
 0.1801376020392742,0.08112388917114983,0.8752898843547741,5.168492403620121,-25.181378673111592,180.20114078271135,-0.44023613011801516,-2.271508246567422,-22.09988871177929,-132.08747194771502
 0.18972237208024337,0.0899864461693858,0.9246499352987942,5.149841961052322,-25.40530002438202,180.22348975856818,-0.4405004019735239,-2.2701454879945935,-23.36220382057134,-131.70009331433147
 0.19881595055755272,0.09881945549025814,0.9713458065944901,5.1350380284519686,-25.62860771836008,180.24583873442498,-0.4407242310454898,-2.2689925571548253,-24.55663571115213,-131.34893964583696
 0.20748310682164964,0.10762309904091019,1.015747643448004,5.122999459170397,-25.851285048664455,180.2681877102818,-0.4409073256182347,-2.2680503178254354,-25.692086714393998,-131.006176494751
 0.21577539827487457,0.11639755625170185,1.0581462627413085,5.11301605020352,-26.073315311339016,180.29053668613864,-0.4410493997996181,-2.2673197162366163,-26.775501551890653,-130.6532511077269
 0.22373466791657828,0.1251430040693539,1.098775165478634,5.104601875082182,-26.29468180694235,180.31288566199544,-0.44115017354872393,-2.2668017830657217,-27.812413144474412,-130.2772288490791
 0.23139543379287697,0.1338596169504843,1.1378252542736398,5.097413160193449,-26.515367842561712,180.33523463785227,-0.4412093721761894,-2.266497638224845,-28.807307152165468,-129.86873946495533
 0.23878657152825578,0.14254756685554704,1.1754550133028305,5.091199809343314,-26.73535673371501,180.35758361370907,-0.44122672663166346,-2.2664084916932086,-29.76387384858023,-129.4207645239799
 0.24593252996962953,0.15120702324315682,1.2117977537447138,5.085775510737038,-26.954631806233486,180.3799325895659,-0.4412019732213996,-2.2665356473784173,-30.685187203008674,-128.92789147698014
 0.2528542292031743,0.1598381530648285,1.2469668979320057,5.080998610406381,-27.173176398016118,180.40228156542273,-0.44113485310963335,-2.2668805081956975,-31.573835326952352,-128.38583329899745
 0.2595697368801778,0.16844112076011183,1.2810599152083795,5.076759482104595,-27.3909738607309,180.42463054127953,-0.4410251126327155,-2.267444577091004,-32.43201753169082,-127.791113645393
 0.2660947863090375,0.1770160882521308,1.3141613079730403,5.072971956083048,-27.608007561433286,180.44697951713636,-0.44087250282787577,-2.2682294622271266,-33.261617872574156,-127.14085156414257
 0.2724431793556476,0.18556321494353387,1.3463449141617059,5.06956736175162,-27.824260884099143,180.46932849299316,-0.4406767794895751,-2.269236879597502,-34.06426178689839,-126.43261191158048
 0.2786271040030726,0.19408265771284758,1.3776757083968048,5.066490298866277,-28.03971723106354,180.49167746884999,-0.4404377023581504,-2.2704686602574973,-34.841360341303556,-125.66429876029387
 0.2846573876864942,0.20257457091124761,1.4082112292239206,5.0636955788769935,-28.25436002437787,180.5140264447068,-0.4401550357580417,-2.2719267502592233,-35.59414524799568,-124.83407849645229
 0.2905437016076821,0.21103910635973458,1.4380027232354455,5.061145975291886,-28.46817270707538,180.53637542056362,-0.439828547656056,-2.2736132188990963,-36.323696894228725,-123.94032258575449
 0.29629472715303395,0.21947641334672713,1.4670960719017925,5.058810543775293,-28.68113874434691,180.55872439642044,-0.43945800982257,-2.275530261477649,-37.03096701485821,-122.98156477519412
 0.3019182926727485,0.2278866386260686,1.495532549564456,5.0566633504977805,-28.893241624611527,180.58107337227725,-0.43904319725715085,-2.2776802060647636,-37.716797202957316,-121.95646795521262
 0.3074214868322942,0.23626992641544614,1.5233494487626096,5.0546824974188995,-29.10446486051618,180.60342234813407,-0.43858388844214546,-2.2800655162049166,-38.38193416059521,-120.86379988686416
 0.3128107532648007,0.24462641839523006,1.5505806002427343,5.052849366636307,-29.314791989793857,180.62577132399088,-0.43807986425126233,-2.2826888008403103,-39.02704234643906,-119.70241106521486
 0.3180919701644343,0.25295625370772845,1.5772568085730898,5.051148028441358,-29.524206576058898,180.6481202998477,-0.4375309086094464,-2.2855528154072218,-39.652714562730324,-118.47122134572243
